# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-04-25 05:40:49 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09427520 COLORADO RIVER BELOW PARKER DAM, AZ-CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 09427520
#            TS   parameter     statistic     Description
#          5403       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	5403_00060_00003	5403_00060_00003_cd
USGS	09427520	2002-02-24	9890	A
USGS	09427520	2002-02-25	12000	A
USGS	09427520	2002-02-26	10800	A
USGS	09427520	2002-02-27	11500	A
USGS	09427520	2002-02-28	9750	A
USGS	09427520	2002-03-01	11500	A
USGS	09427520	2002-03-02	11700	A
USGS	09427520	2002-03-03	9800	A
USGS	09427520	2002-03-04	11200	A
USGS	09427520	2002-03-05	11200	A
USGS	09427520	2002-03-06	10700	A
USGS	09427520	2002-03-07	9400	A
USGS	09427520	2002-03-08	10400	A
USGS	09427520	2002-03-09	10700	A
USGS	09427520	2002-03-10	11100	A
USGS	09427520	2002-03-11	11200	A
USGS	09427520	2002-03-12	11200	A
USGS	09427520	2002-03-13	10300	A
USGS	09427520	2002-03-14	9870	A
USGS	09427520	2002-03-15	11200	A
USGS	09427520	2002-03-16	11600	A
USGS	09427520	2002-03-17	11200	A
USGS	09427520	2002-03-18	11200	A
USGS	09427520	2002-03-19	11500	A
USGS	09427520	2002-03-20	11300	A
USGS	09427520	2002-03-21	9780	A
USGS	09427520	2002-03-22	10300	A
USGS	09427520	2002-03-23	12800	A
USGS	09427520	2002-03-24	11300	A
USGS	09427520	2002-03-25	13300	A
USGS	09427520	2002-03-26	12200	A
USGS	09427520	2002-03-27	13500	A
USGS	09427520	2002-03-28	10000	A
USGS	09427520	2002-03-29	12900	A
USGS	09427520	2002-03-30	14400	A
USGS	09427520	2002-03-31	12600	A
USGS	09427520	2002-04-01	14700	A
USGS	09427520	2002-04-02	13200	A
USGS	09427520	2002-04-03	14100	A
USGS	09427520	2002-04-04	10400	A
USGS	09427520	2002-04-05	14600	A
USGS	09427520	2002-04-06	13700	A
USGS	09427520	2002-04-07	13700	A
USGS	09427520	2002-04-08	13700	A
USGS	09427520	2002-04-09	13700	A
USGS	09427520	2002-04-10	12300	A
USGS	09427520	2002-04-11	10900	A
USGS	09427520	2002-04-12	12600	A
USGS	09427520	2002-04-13	13500	A
USGS	09427520	2002-04-14	13800	A
USGS	09427520	2002-04-15	14500	A
USGS	09427520	2002-04-16	14800	A
USGS	09427520	2002-04-17	15400	A
USGS	09427520	2002-04-18	11300	A
USGS	09427520	2002-04-19	14400	A
USGS	09427520	2002-04-20	14100	A
USGS	09427520	2002-04-21	13800	A
USGS	09427520	2002-04-22	14100	A
USGS	09427520	2002-04-23	14800	A
USGS	09427520	2002-04-24	14400	A
USGS	09427520	2002-04-25	11200	A
USGS	09427520	2002-04-26	13500	A
USGS	09427520	2002-04-27	14400	A
USGS	09427520	2002-04-28	13600	A
USGS	09427520	2002-04-29	13700	A
USGS	09427520	2002-04-30	15400	A
USGS	09427520	2002-05-01	13200	A
USGS	09427520	2002-05-02	11800	A
USGS	09427520	2002-05-03	11800	A
USGS	09427520	2002-05-04	12600	A
USGS	09427520	2002-05-05	13300	A
USGS	09427520	2002-05-06	13700	A
USGS	09427520	2002-05-07	14200	A
USGS	09427520	2002-05-08	13700	A
USGS	09427520	2002-05-09	12400	A
USGS	09427520	2002-05-10	13300	A
USGS	09427520	2002-05-11	14200	A
USGS	09427520	2002-05-12	13500	A
USGS	09427520	2002-05-13	13600	A
USGS	09427520	2002-05-14	13400	A
USGS	09427520	2002-05-15	13000	A
USGS	09427520	2002-05-16	9810	A
USGS	09427520	2002-05-17	13300	A
USGS	09427520	2002-05-18	13200	A
USGS	09427520	2002-05-19	13200	A
USGS	09427520	2002-05-20	13300	A
USGS	09427520	2002-05-21	14000	A
USGS	09427520	2002-05-22	13000	A
USGS	09427520	2002-05-23	9300	A
USGS	09427520	2002-05-24	11300	A
USGS	09427520	2002-05-25	11700	A
USGS	09427520	2002-05-26	12100	A
USGS	09427520	2002-05-27	12900	A
USGS	09427520	2002-05-28	15000	A
USGS	09427520	2002-05-29	14300	A
USGS	09427520	2002-05-30	10300	A
USGS	09427520	2002-05-31	13200	A
USGS	09427520	2002-06-01	15100	A
USGS	09427520	2002-06-02	14200	A
USGS	09427520	2002-06-03	14400	A
USGS	09427520	2002-06-04	13100	A
USGS	09427520	2002-06-05	13400	A
USGS	09427520	2002-06-06	9590	A
USGS	09427520	2002-06-07	14900	A
USGS	09427520	2002-06-08	14200	A
USGS	09427520	2002-06-09	14300	A
USGS	09427520	2002-06-10	14800	A
USGS	09427520	2002-06-11	14800	A
USGS	09427520	2002-06-12	13900	A
USGS	09427520	2002-06-13	9610	A
USGS	09427520	2002-06-14	14500	A
USGS	09427520	2002-06-15	13200	A
USGS	09427520	2002-06-16	13100	A
USGS	09427520	2002-06-17	12700	A
USGS	09427520	2002-06-18	14900	A
USGS	09427520	2002-06-19	13200	A
USGS	09427520	2002-06-20	12600	A
USGS	09427520	2002-06-21	14000	A
USGS	09427520	2002-06-22	14500	A
USGS	09427520	2002-06-23	13900	A
USGS	09427520	2002-06-24	13900	A
USGS	09427520	2002-06-25	14400	A
USGS	09427520	2002-06-26	14200	A
USGS	09427520	2002-06-27	13200	A
USGS	09427520	2002-06-28	12800	A
USGS	09427520	2002-06-29	15200	A
USGS	09427520	2002-06-30	14800	A
USGS	09427520	2002-07-01	14600	A
USGS	09427520	2002-07-02	13800	A
USGS	09427520	2002-07-03	15200	A
USGS	09427520	2002-07-04	11800	A
USGS	09427520	2002-07-05	15300	A
USGS	09427520	2002-07-06	16400	A
USGS	09427520	2002-07-07	15000	A
USGS	09427520	2002-07-08	16200	A
USGS	09427520	2002-07-09	16300	A
USGS	09427520	2002-07-10	15900	A
USGS	09427520	2002-07-11	11400	A
USGS	09427520	2002-07-12	15200	A
USGS	09427520	2002-07-13	14500	A
USGS	09427520	2002-07-14	14600	A
USGS	09427520	2002-07-15	15000	A
USGS	09427520	2002-07-16	15200	A
USGS	09427520	2002-07-17	13200	A
USGS	09427520	2002-07-18	11200	A
USGS	09427520	2002-07-19	13500	A
USGS	09427520	2002-07-20	14400	A
USGS	09427520	2002-07-21	13900	A
USGS	09427520	2002-07-22	13900	A
USGS	09427520	2002-07-23	14300	A
USGS	09427520	2002-07-24	15200	A
USGS	09427520	2002-07-25	15000	A
USGS	09427520	2002-07-26	15000	A
USGS	09427520	2002-07-27	14700	A
USGS	09427520	2002-07-28	14700	A
USGS	09427520	2002-07-29	14200	A
USGS	09427520	2002-07-30	14200	A
USGS	09427520	2002-07-31	13800	A
USGS	09427520	2002-08-01	10200	A
USGS	09427520	2002-08-02	14600	A
USGS	09427520	2002-08-03	13100	A
USGS	09427520	2002-08-04	12900	A
USGS	09427520	2002-08-05	13800	A
USGS	09427520	2002-08-06	13300	A
USGS	09427520	2002-08-07	12700	A
USGS	09427520	2002-08-08	10400	A
USGS	09427520	2002-08-09	11100	A
USGS	09427520	2002-08-10	12600	A
USGS	09427520	2002-08-11	12900	A
USGS	09427520	2002-08-12	13500	A
USGS	09427520	2002-08-13	13700	A
USGS	09427520	2002-08-14	12900	A
USGS	09427520	2002-08-15	9830	A
USGS	09427520	2002-08-16	12700	A
USGS	09427520	2002-08-17	12600	A
USGS	09427520	2002-08-18	12700	A
USGS	09427520	2002-08-19	12700	A
USGS	09427520	2002-08-20	13300	A
USGS	09427520	2002-08-21	12800	A
USGS	09427520	2002-08-22	10800	A
USGS	09427520	2002-08-23	7730	A
USGS	09427520	2002-08-24	12000	A
USGS	09427520	2002-08-25	12100	A
USGS	09427520	2002-08-26	10100	A
USGS	09427520	2002-08-27	10700	A
USGS	09427520	2002-08-28	12400	A
USGS	09427520	2002-08-29	10400	A
USGS	09427520	2002-08-30	12200	A
USGS	09427520	2002-08-31	12900	A
USGS	09427520	2002-09-01	12300	A
USGS	09427520	2002-09-02	11600	A
USGS	09427520	2002-09-03	11200	A
USGS	09427520	2002-09-04	12800	A
USGS	09427520	2002-09-05	8770	A
USGS	09427520	2002-09-06	9620	A
USGS	09427520	2002-09-07	11100	A
USGS	09427520	2002-09-08	10700	A
USGS	09427520	2002-09-09	8270	A
USGS	09427520	2002-09-10	7040	A
USGS	09427520	2002-09-11	7540	A
USGS	09427520	2002-09-12	8620	A
USGS	09427520	2002-09-13	7080	A
USGS	09427520	2002-09-14	7440	A
USGS	09427520	2002-09-15	7580	A
USGS	09427520	2002-09-16	9190	A
USGS	09427520	2002-09-17	13200	A
USGS	09427520	2002-09-18	14100	A
USGS	09427520	2002-09-19	11400	A
USGS	09427520	2002-09-20	11900	A
USGS	09427520	2002-09-21	13500	A
USGS	09427520	2002-09-22	13300	A
USGS	09427520	2002-09-23	11700	A
USGS	09427520	2002-09-24	10500	A
USGS	09427520	2002-09-25	10000	A
USGS	09427520	2002-09-26	9510	A
USGS	09427520	2002-09-27	9600	A
USGS	09427520	2002-09-28	11300	A
USGS	09427520	2002-09-29	11100	A
USGS	09427520	2002-09-30	10900	A
USGS	09427520	2002-10-01	10300	A
USGS	09427520	2002-10-02	9880	A
USGS	09427520	2002-10-03	8800	A
USGS	09427520	2002-10-04	8770	A
USGS	09427520	2002-10-05	9540	A
USGS	09427520	2002-10-06	10200	A
USGS	09427520	2002-10-07	10700	A
USGS	09427520	2002-10-08	10700	A
USGS	09427520	2002-10-09	9590	A
USGS	09427520	2002-10-10	8140	A
USGS	09427520	2002-10-11	9460	A
USGS	09427520	2002-10-12	9640	A
USGS	09427520	2002-10-13	10100	A
USGS	09427520	2002-10-14	9850	A
USGS	09427520	2002-10-15	9950	A
USGS	09427520	2002-10-16	9850	A
USGS	09427520	2002-10-17	8270	A
USGS	09427520	2002-10-18	7530	A
USGS	09427520	2002-10-19	8920	A
USGS	09427520	2002-10-20	7620	A
USGS	09427520	2002-10-21	7890	A
USGS	09427520	2002-10-22	7100	A
USGS	09427520	2002-10-23	6520	A
USGS	09427520	2002-10-24	6310	A
USGS	09427520	2002-10-25	9140	A
USGS	09427520	2002-10-26	9280	A
USGS	09427520	2002-10-27	9090	A
USGS	09427520	2002-10-28	8930	A
USGS	09427520	2002-10-29	7140	A
USGS	09427520	2002-10-30	6470	A
USGS	09427520	2002-10-31	6020	A
USGS	09427520	2002-11-01	7260	A
USGS	09427520	2002-11-02	7300	A
USGS	09427520	2002-11-03	7250	A
USGS	09427520	2002-11-04	8040	A
USGS	09427520	2002-11-05	7500	A
USGS	09427520	2002-11-06	6410	A
USGS	09427520	2002-11-07	4540	A
USGS	09427520	2002-11-08	4440	A
USGS	09427520	2002-11-09	7020	A
USGS	09427520	2002-11-10	8360	A
USGS	09427520	2002-11-11	9300	A
USGS	09427520	2002-11-12	11200	A
USGS	09427520	2002-11-13	7540	A
USGS	09427520	2002-11-14	7430	A
USGS	09427520	2002-11-15	7540	A
USGS	09427520	2002-11-16	7720	A
USGS	09427520	2002-11-17	7950	A
USGS	09427520	2002-11-18	7960	A
USGS	09427520	2002-11-19	7990	A
USGS	09427520	2002-11-20	7750	A
USGS	09427520	2002-11-21	5100	A
USGS	09427520	2002-11-22	7150	A
USGS	09427520	2002-11-23	8500	A
USGS	09427520	2002-11-24	8240	A
USGS	09427520	2002-11-25	5790	A
USGS	09427520	2002-11-26	4670	A
USGS	09427520	2002-11-27	4140	A
USGS	09427520	2002-11-28	4350	A
USGS	09427520	2002-11-29	6620	A
USGS	09427520	2002-11-30	6400	A
USGS	09427520	2002-12-01	7240	A
USGS	09427520	2002-12-02	7850	A
USGS	09427520	2002-12-03	8280	A
USGS	09427520	2002-12-04	5780	A
USGS	09427520	2002-12-05	5570	A
USGS	09427520	2002-12-06	5090	A
USGS	09427520	2002-12-07	5110	A
USGS	09427520	2002-12-08	5110	A
USGS	09427520	2002-12-09	4850	A
USGS	09427520	2002-12-10	5260	A
USGS	09427520	2002-12-11	6370	A
USGS	09427520	2002-12-12	5950	A
USGS	09427520	2002-12-13	6340	A
USGS	09427520	2002-12-14	6430	A
USGS	09427520	2002-12-15	6890	A
USGS	09427520	2002-12-16	6950	A
USGS	09427520	2002-12-17	6620	A
USGS	09427520	2002-12-18	6100	A
USGS	09427520	2002-12-19	4300	A
USGS	09427520	2002-12-20	5040	A
USGS	09427520	2002-12-21	4790	A
USGS	09427520	2002-12-22	3900	A
USGS	09427520	2002-12-23	4150	A
USGS	09427520	2002-12-24	4990	A
USGS	09427520	2002-12-25	4840	A
USGS	09427520	2002-12-26	3910	A
USGS	09427520	2002-12-27	5490	A
USGS	09427520	2002-12-28	4960	A
USGS	09427520	2002-12-29	4730	A
USGS	09427520	2002-12-30	4970	A
USGS	09427520	2002-12-31	6210	A
USGS	09427520	2003-01-01	5260	A
USGS	09427520	2003-01-02	4850	A
USGS	09427520	2003-01-03	4890	A
USGS	09427520	2003-01-04	5240	A
USGS	09427520	2003-01-05	5530	A
USGS	09427520	2003-01-06	2550	A
USGS	09427520	2003-01-07	5880	A
USGS	09427520	2003-01-08	6100	A
USGS	09427520	2003-01-09	5440	A
USGS	09427520	2003-01-10	4750	A
USGS	09427520	2003-01-11	4730	A
USGS	09427520	2003-01-12	5030	A
USGS	09427520	2003-01-13	5480	A
USGS	09427520	2003-01-14	6830	A
USGS	09427520	2003-01-15	8970	A
USGS	09427520	2003-01-16	7840	A
USGS	09427520	2003-01-17	7110	A
USGS	09427520	2003-01-18	9360	A
USGS	09427520	2003-01-19	7860	A
USGS	09427520	2003-01-20	6900	A
USGS	09427520	2003-01-21	6650	A
USGS	09427520	2003-01-22	5340	A
USGS	09427520	2003-01-23	5280	A
USGS	09427520	2003-01-24	6370	A
USGS	09427520	2003-01-25	7540	A
USGS	09427520	2003-01-26	7590	A
USGS	09427520	2003-01-27	7600	A
USGS	09427520	2003-01-28	8620	A
USGS	09427520	2003-01-29	7000	A
USGS	09427520	2003-01-30	6360	A
USGS	09427520	2003-01-31	7180	A
USGS	09427520	2003-02-01	8110	A
USGS	09427520	2003-02-02	8240	A
USGS	09427520	2003-02-03	8810	A
USGS	09427520	2003-02-04	8630	A
USGS	09427520	2003-02-05	8810	A
USGS	09427520	2003-02-06	7100	A
USGS	09427520	2003-02-07	7030	A
USGS	09427520	2003-02-08	7840	A
USGS	09427520	2003-02-09	8030	A
USGS	09427520	2003-02-10	6380	A
USGS	09427520	2003-02-11	6830	A
USGS	09427520	2003-02-12	5190	A
USGS	09427520	2003-02-13	3950	A
USGS	09427520	2003-02-14	3970	A
USGS	09427520	2003-02-15	6970	A
USGS	09427520	2003-02-16	6240	A
USGS	09427520	2003-02-17	6270	A
USGS	09427520	2003-02-18	5070	A
USGS	09427520	2003-02-19	5170	A
USGS	09427520	2003-02-20	7130	A
USGS	09427520	2003-02-21	8480	A
USGS	09427520	2003-02-22	8680	A
USGS	09427520	2003-02-23	9280	A
USGS	09427520	2003-02-24	8010	A
USGS	09427520	2003-02-25	3800	A
USGS	09427520	2003-02-26	3100	A
USGS	09427520	2003-02-27	5440	A
USGS	09427520	2003-02-28	10100	A
USGS	09427520	2003-03-01	9870	A
USGS	09427520	2003-03-02	9280	A
USGS	09427520	2003-03-03	9250	A
USGS	09427520	2003-03-04	9270	A
USGS	09427520	2003-03-05	9670	A
USGS	09427520	2003-03-06	11200	A
USGS	09427520	2003-03-07	11400	A
USGS	09427520	2003-03-08	13500	A
USGS	09427520	2003-03-09	11500	A
USGS	09427520	2003-03-10	12100	A
USGS	09427520	2003-03-11	13600	A
USGS	09427520	2003-03-12	9360	A
USGS	09427520	2003-03-13	10700	A
USGS	09427520	2003-03-14	15100	A
USGS	09427520	2003-03-15	13600	A
USGS	09427520	2003-03-16	10200	A
USGS	09427520	2003-03-17	10600	A
USGS	09427520	2003-03-18	10500	A
USGS	09427520	2003-03-19	12500	A
USGS	09427520	2003-03-20	9150	A
USGS	09427520	2003-03-21	11800	A
USGS	09427520	2003-03-22	13000	A
USGS	09427520	2003-03-23	12900	A
USGS	09427520	2003-03-24	15000	A
USGS	09427520	2003-03-25	13700	A
USGS	09427520	2003-03-26	13500	A
USGS	09427520	2003-03-27	16300	A
USGS	09427520	2003-03-28	15900	A
USGS	09427520	2003-03-29	16800	A
USGS	09427520	2003-03-30	15800	A
USGS	09427520	2003-03-31	16100	A
USGS	09427520	2003-04-01	16700	A
USGS	09427520	2003-04-02	14800	A
USGS	09427520	2003-04-03	13300	A
USGS	09427520	2003-04-04	15300	A
USGS	09427520	2003-04-05	15100	A
USGS	09427520	2003-04-06	15300	A
USGS	09427520	2003-04-07	14200	A
USGS	09427520	2003-04-08	14000	A
USGS	09427520	2003-04-09	12900	A
USGS	09427520	2003-04-10	11600	A
USGS	09427520	2003-04-11	16000	A
USGS	09427520	2003-04-12	15100	A
USGS	09427520	2003-04-13	15300	A
USGS	09427520	2003-04-14	14900	A
USGS	09427520	2003-04-15	13200	A
USGS	09427520	2003-04-16	13000	A
USGS	09427520	2003-04-17	11200	A
USGS	09427520	2003-04-18	12400	A
USGS	09427520	2003-04-19	14700	A
USGS	09427520	2003-04-20	14400	A
USGS	09427520	2003-04-21	12000	A
USGS	09427520	2003-04-22	12400	A
USGS	09427520	2003-04-23	11900	A
USGS	09427520	2003-04-24	11100	A
USGS	09427520	2003-04-25	12400	A
USGS	09427520	2003-04-26	14000	A
USGS	09427520	2003-04-27	14000	A
USGS	09427520	2003-04-28	15100	A
USGS	09427520	2003-04-29	15200	A
USGS	09427520	2003-04-30	12600	A
USGS	09427520	2003-05-01	10800	A
USGS	09427520	2003-05-02	12100	A
USGS	09427520	2003-05-03	15400	A
USGS	09427520	2003-05-04	13100	A
USGS	09427520	2003-05-05	12800	A
USGS	09427520	2003-05-06	12000	A
USGS	09427520	2003-05-07	10500	A
USGS	09427520	2003-05-08	8720	A
USGS	09427520	2003-05-09	12400	A
USGS	09427520	2003-05-10	14000	A
USGS	09427520	2003-05-11	12500	A
USGS	09427520	2003-05-12	12700	A
USGS	09427520	2003-05-13	12200	A
USGS	09427520	2003-05-14	10400	A
USGS	09427520	2003-05-15	8520	A
USGS	09427520	2003-05-16	11300	A
USGS	09427520	2003-05-17	14400	A
USGS	09427520	2003-05-18	13200	A
USGS	09427520	2003-05-19	13000	A
USGS	09427520	2003-05-20	12700	A
USGS	09427520	2003-05-21	12500	A
USGS	09427520	2003-05-22	8570	A
USGS	09427520	2003-05-23	11400	A
USGS	09427520	2003-05-24	15300	A
USGS	09427520	2003-05-25	14400	A
USGS	09427520	2003-05-26	12800	A
USGS	09427520	2003-05-27	9020	A
USGS	09427520	2003-05-28	10700	A
USGS	09427520	2003-05-29	9230	A
USGS	09427520	2003-05-30	9730	A
USGS	09427520	2003-05-31	15300	A
USGS	09427520	2003-06-01	13900	A
USGS	09427520	2003-06-02	8710	A
USGS	09427520	2003-06-03	14300	A
USGS	09427520	2003-06-04	12500	A
USGS	09427520	2003-06-05	11100	A
USGS	09427520	2003-06-06	11500	A
USGS	09427520	2003-06-07	15700	A
USGS	09427520	2003-06-08	13800	A
USGS	09427520	2003-06-09	14700	A
USGS	09427520	2003-06-10	13100	A
USGS	09427520	2003-06-11	11100	A
USGS	09427520	2003-06-12	10100	A
USGS	09427520	2003-06-13	10600	A
USGS	09427520	2003-06-14	12600	A
USGS	09427520	2003-06-15	12800	A
USGS	09427520	2003-06-16	13600	A
USGS	09427520	2003-06-17	14100	A
USGS	09427520	2003-06-18	13500	A
USGS	09427520	2003-06-19	11800	A
USGS	09427520	2003-06-20	12000	A
USGS	09427520	2003-06-21	13400	A
USGS	09427520	2003-06-22	13000	A
USGS	09427520	2003-06-23	13000	A
USGS	09427520	2003-06-24	16100	A
USGS	09427520	2003-06-25	11300	A
USGS	09427520	2003-06-26	9340	A
USGS	09427520	2003-06-27	12100	A
USGS	09427520	2003-06-28	13900	A
USGS	09427520	2003-06-29	14000	A
USGS	09427520	2003-06-30	15700	A
USGS	09427520	2003-07-01	14200	A
USGS	09427520	2003-07-02	13300	A
USGS	09427520	2003-07-03	9300	A
USGS	09427520	2003-07-04	11800	A
USGS	09427520	2003-07-05	13900	A
USGS	09427520	2003-07-06	13700	A
USGS	09427520	2003-07-07	13700	A
USGS	09427520	2003-07-08	16700	A
USGS	09427520	2003-07-09	15100	A
USGS	09427520	2003-07-10	9330	A
USGS	09427520	2003-07-11	17100	A
USGS	09427520	2003-07-12	14200	A
USGS	09427520	2003-07-13	14000	A
USGS	09427520	2003-07-14	12600	A
USGS	09427520	2003-07-15	12300	A
USGS	09427520	2003-07-16	14600	A
USGS	09427520	2003-07-17	10000	A
USGS	09427520	2003-07-18	13200	A
USGS	09427520	2003-07-19	14000	A
USGS	09427520	2003-07-20	14100	A
USGS	09427520	2003-07-21	13300	A
USGS	09427520	2003-07-22	14700	A
USGS	09427520	2003-07-23	17300	A
USGS	09427520	2003-07-24	8090	A
USGS	09427520	2003-07-25	14400	A
USGS	09427520	2003-07-26	13100	A
USGS	09427520	2003-07-27	12500	A
USGS	09427520	2003-07-28	9870	A
USGS	09427520	2003-07-29	11500	A
USGS	09427520	2003-07-30	16300	A
USGS	09427520	2003-07-31	7900	A
USGS	09427520	2003-08-01	11900	A
USGS	09427520	2003-08-02	11800	A
USGS	09427520	2003-08-03	11100	A
USGS	09427520	2003-08-04	7950	A
USGS	09427520	2003-08-05	15300	A
USGS	09427520	2003-08-06	14400	A
USGS	09427520	2003-08-07	7310	A
USGS	09427520	2003-08-08	12600	A
USGS	09427520	2003-08-09	13600	A
USGS	09427520	2003-08-10	12200	A
USGS	09427520	2003-08-11	12300	A
USGS	09427520	2003-08-12	10600	A
USGS	09427520	2003-08-13	14300	A
USGS	09427520	2003-08-14	7200	A
USGS	09427520	2003-08-15	11100	A
USGS	09427520	2003-08-16	14300	A
USGS	09427520	2003-08-17	10900	A
USGS	09427520	2003-08-18	9610	A
USGS	09427520	2003-08-19	9480	A
USGS	09427520	2003-08-20	10600	A
USGS	09427520	2003-08-21	7840	A
USGS	09427520	2003-08-22	10200	A
USGS	09427520	2003-08-23	12400	A
USGS	09427520	2003-08-24	10400	A
USGS	09427520	2003-08-25	8290	A
USGS	09427520	2003-08-26	9070	A
USGS	09427520	2003-08-27	9570	A
USGS	09427520	2003-08-28	7090	A
USGS	09427520	2003-08-29	9690	A
USGS	09427520	2003-08-30	10800	A
USGS	09427520	2003-08-31	11000	A
USGS	09427520	2003-09-01	10400	A
USGS	09427520	2003-09-02	10900	A
USGS	09427520	2003-09-03	11400	A
USGS	09427520	2003-09-04	6980	A
USGS	09427520	2003-09-05	10500	A
USGS	09427520	2003-09-06	10800	A
USGS	09427520	2003-09-07	10200	A
USGS	09427520	2003-09-08	10900	A
USGS	09427520	2003-09-09	11800	A
USGS	09427520	2003-09-10	13500	A
USGS	09427520	2003-09-11	7670	A
USGS	09427520	2003-09-12	12900	A
USGS	09427520	2003-09-13	11600	A
USGS	09427520	2003-09-14	11600	A
USGS	09427520	2003-09-15	12400	A
USGS	09427520	2003-09-16	11300	A
USGS	09427520	2003-09-17	10700	A
USGS	09427520	2003-09-18	6880	A
USGS	09427520	2003-09-19	10500	A
USGS	09427520	2003-09-20	10800	A
USGS	09427520	2003-09-21	11100	A
USGS	09427520	2003-09-22	12300	A
USGS	09427520	2003-09-23	13000	A
USGS	09427520	2003-09-24	12300	A
USGS	09427520	2003-09-25	8430	A
USGS	09427520	2003-09-26	11500	A
USGS	09427520	2003-09-27	14200	A
USGS	09427520	2003-09-28	13500	A
USGS	09427520	2003-09-29	12300	A
USGS	09427520	2003-09-30	12400	A
USGS	09427520	2003-10-01	11400	A
USGS	09427520	2003-10-02	7160	A
USGS	09427520	2003-10-03	11200	A
USGS	09427520	2003-10-04	11400	A
USGS	09427520	2003-10-05	11700	A
USGS	09427520	2003-10-06	11700	A
USGS	09427520	2003-10-07	12000	A
USGS	09427520	2003-10-08	10800	A
